Date : 2023-07-12 21:20:50
Directory : \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0
Total : 61 files,  8802 codes, 849 comments, 1263 blanks, all 10914 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\blankMsgHandler.go                                   | Go               |        237 |         13 |         44 |        294 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\crypto\binaryquadraticform\README.md                 | Markdown         |         67 |          0 |         26 |         93 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\crypto\binaryquadraticform\binaryquadratic.go        | Go               |        560 |         86 |         44 |        690 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\crypto\binaryquadraticform\guide.go                  | Go               |         29 |          2 |          9 |         40 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\crypto\timedCommitment\forceOpenTC.go                | Go               |         26 |          0 |          7 |         33 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\crypto\timedCommitment\generateTC.go                 | Go               |         81 |          7 |         14 |        102 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\crypto\timedCommitment\verifyGroup.go                | Go               |         50 |          2 |         10 |         62 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\crypto\timedCommitment\verifyTC.go                   | Go               |         69 |          1 |         11 |         81 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\errorMsgHandler.go                                   | Go               |        101 |          7 |         22 |        130 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\go.mod                                               | Go Module File   |         29 |          0 |          3 |         32 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\go.sum                                               | Go Checksum File |        507 |          0 |          1 |        508 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\main.go                                              | Go               |        243 |         14 |         34 |        291 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\blankReplyMsgpb\blankReplyMsg.pb.go              | Go               |        216 |          9 |         29 |        254 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\blankReplyMsgpb\blankReplyMsg_grpc.pb.go         | Go               |         70 |         23 |         15 |        108 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\blankRequireMsgpb\blankRequireMsg.pb.go          | Go               |        201 |          9 |         27 |        237 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\blankRequireMsgpb\blankRequireMsg_grpc.pb.go     | Go               |         70 |         23 |         15 |        108 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\errCompleteSigMsgpb\errCompleteSigMsg.pb.go      | Go               |        184 |         10 |         25 |        219 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\errCompleteSigMsgpb\errCompleteSigMsg_grpc.pb.go | Go               |         71 |         23 |         15 |        109 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\errMsgpb\errMsg.pb.go                            | Go               |        193 |          9 |         27 |        229 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\errMsgpb\errMsg_grpc.pb.go                       | Go               |         70 |         23 |         15 |        108 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\errSetupMsgpb\errSetupMsg.pb.go                  | Go               |        218 |          9 |         29 |        256 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\errSetupMsgpb\errSetupMsg_grpc.pb.go             | Go               |         70 |         23 |         15 |        108 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\groupMsgpb\groupMsg.pb.go                        | Go               |        268 |          9 |         36 |        313 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\groupMsgpb\groupMsg_grpc.pb.go                   | Go               |         70 |         23 |         15 |        108 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\rMsgpb\rMsg.pb.go                                | Go               |        167 |          9 |         24 |        200 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\rMsgpb\rMsg_grpc.pb.go                           | Go               |         70 |         23 |         15 |        108 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\tcCompleteSigMsgpb\tcCompleteSigMsg.pb.go        | Go               |        192 |         10 |         26 |        228 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\tcCompleteSigMsgpb\tcCompleteSigMsg_grpc.pb.go   | Go               |         71 |         23 |         15 |        109 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\tcMsgpb\tcMsg.pb.go                              | Go               |        299 |         10 |         40 |        349 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\tcMsgpb\tcMsg_grpc.pb.go                         | Go               |         70 |         23 |         15 |        108 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\tcPartSigMsgpb\tcPartSigMsg.pb.go                | Go               |        189 |         10 |         26 |        225 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\tcPartSigMsgpb\tcPartSigMsg_grpc.pb.go           | Go               |         70 |         23 |         15 |        108 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\tcSetupMsgpb\tcSetupMsg.pb.go                    | Go               |        260 |          9 |         34 |        303 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\msg\tcSetupMsgpb\tcSetupMsg_grpc.pb.go               | Go               |         70 |         23 |         15 |        108 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\normalMsgHandler.go                                  | Go               |        221 |         20 |         41 |        282 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\setupMsgHadler.go                                    | Go               |        196 |         26 |         38 |        260 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\util\util.go                                         | Go               |         11 |          1 |          4 |         16 |
| \\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\node\variables.go                                         | Go               |         46 |         38 |         36 |        120 |
| Total                                                                                                                   |                  |      8,802 |        849 |      1,263 |     10,914 |
+-------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
